timestamp,symbol,action,quantity,price,cash_after
2026-04-08T20:28:48.656629+00:00,SHY,SELL,224,82.41999816894531,18494.96
2026-04-08T20:28:48.656629+00:00,SSO,BUY,330,55.970001220703125,24.86
